A.C. Green,72
A.J. Guyton,21
Aaron McKie,112
Aaron Williams,138
Adam Keefe,59
Adonal Foyle,76
Adrian Griffin,29
Al Harrington,112
Alan Henderson,97
Allan Houston,112
Allen Iverson,105
Alonzo Mourning,21
Alvin Williams,95
Andre Miller,118
Andrew DeClercq,110
Anfernee Hardaway,3
Antawn Jamison,117
Anthony Carter,93
Anthony Goldwire,7
Anthony Johnson,24
Anthony Mason,145
Anthony Peeler,83
Antoine Walker,149
Antonio Daniels,63
Antonio Davis,140
Antonio Harvey,8
Antonio McDyess,119
Art Long,4
Arvydas Sabonis,86
Austin Croshere,98
Avery Johnson,52
Baron Davis,152
Ben Wallace,117
Bill Curley,25
Billy Owens,41
Bimbo Coles,58
Bo Outlaw,132
Bob Sura,68
Bobby Jackson,75
Bonzi Wells,112
Brad Miller,107
Brent Barry,59
Brent Price,7
Brevin Knight,78
Brian Cardinal,9
Brian Grant,196
Brian Shaw,77
Brian Skinner,39
Bruce Bowen,150
Bruno Sundov,15
Bryant Reeves,160
Bryant Stith,97
Bryce Drew,58
Bryon Russell,120
Cal Bowdler,21
Calbert Cheaney,4
Calvin Booth,86
Carlos Rogers,17
Cedric Ceballos,39
Cedric Henderson,47
Charles Oakley,152
Charlie Ward,70
Chauncey Billups,93
Cherokee Parks,72
Chris Carr,25
Chris Childs,125
Chris Crawford,64
Chris Dudley,54
Chris Garner,7
Chris Gatling,95
Chris Herren,29
Chris Mihm,78
Chris Mills,25
Chris Mullin,14
Chris Porter,54
Chris Webber,144
Chris Whitney,91
Christian Laettner,162
Chucky Atkins,106
Chucky Brown,19
Clar. Weatherspoon,84
Clifford Robinson,168
Corey Benjamin,74
Corey Maggette,99
Corie Blount,84
Corliss Williamson,106
Cory Alexander,22
Courtney Alexander,74
Cuttino Mobley,101
Dale Davis,106
Dalibor Bagaric,34
Damon Jones,26
Damon Stoudamire,110
Dan Langhi,6
Dan Majerle,59
Dan McClintock,8
Dana Barros,43
Daniel Santiago,64
Danny Ferry,76
Danny Fortson,10
Danny Manning,117
Darius Miles,122
Darrell Armstrong,90
Darrick Martin,15
Darvin Ham,42
David Benoit,32
David Robinson,120
David Vanterpool,31
David Wesley,124
David Wingate,1
DeShawn Stevenson,12
Dean Garrett,52
Dee Brown,7
Dell Curry,47
DerMarr Johnson,70
Derek Anderson,113
Derek Fisher,20
Derek Strong,24
Derrick Coleman,32
Derrick Dial,12
Derrick McKey,82
Desmond Mason,71
Detlef Schrempf,16
Devean George,33
Dikembe Mutombo,105
Dion Glover,44
Dirk Nowitzki,126
Don MacLean,3
Don Reid,102
Donnell Harvey,5
Donyell Marshall,110
Doug Christie,127
Doug Overton,30
Doug West,9
Dragan Tarlac,48
Duane Causwell,42
Earl Boykins,2
Eddie Gill,6
Eddie House,36
Eddie Jones,106
Eddie Robinson,35
Eduardo Najera,19
Elden Campbell,152
Eldridge Recasner,11
Elliot Perry,18
Elton Brand,136
Emanual Davis,51
Eric Montross,68
Eric Piatkowski,69
Eric Snow,65
Eric Williams,105
Erick Barkley,2
Erick Dampier,60
Erick Strickland,48
Ervin Johnson,138
Etdrick Bohannon,2
Evan Eschmeyer,89
Felipe Lopez,87
Felton Spencer,8
Fred Hoiberg,77
Gary Grant,1
Gary Payton,108
Gary Trent,29
George Lynch,134
George McCloud,91
Gerard King,50
Glen Rice,91
Glenn Robinson,101
Grant Hill,9
Grant Long,81
Greg Anthony,42
Greg Buckner,60
Greg Foster,46
Greg Ostertag,125
Hakeem Olajuwon,66
Hanno Mottola,94
Hedo Turkoglu,72
Hersey Hawkins,21
Horace Grant,93
Howard Eisley,106
Hubert Davis,61
Ike Austin,56
Ira Newble,12
Isaiah Rider,59
J.R. Reid,2
Jabari Smith,2
Jacque Vaughn,71
Jahidi White,127
Jake Tsakalidis,76
Jake Voskuhl,28
Jalen Rose,121
Jamaal Magloire,82
Jamal Crawford,38
Jamal Mashburn,109
Jamel Thomas,4
James Posey,126
James Robinson,5
Jamie Feick,2
Jaren Jackson,9
Jason Caffey,102
Jason Collier,14
Jason Kidd,112
Jason Terry,102
Jason Williams,60
Jeff Foster,82
Jeff McInnis,111
Jelani McCoy,80
Jermaine O'Neal,159
Jerome Kersey,19
Jerome Moiso,15
Jerome Williams,86
Jerry Stackhouse,118
Jim Jackson,89
Jim McIlvaine,21
Joe Smith,150
Joel Przybilla,31
John Amaechi,91
John Crotty,21
John Starks,120
John Stockton,95
John Wallace,51
Johnny Newman,102
Jon Barry,31
Jonathan Bender,41
Juan Sanchez,7
Jud Buechler,43
Jumaine Jones,34
Juwan Howard,178
Karl Malone,130
Keith Van Horn,69
Kelvin Cato,37
Kendall Gill,35
Kenny Anderson,32
Kenny Thomas,109
Kenyon Martin,122
Keon Clark,134
Kevin Edwards,21
Kevin Garnett,104
Kevin Ollie,55
Kevin Willis,123
Keyon Dooling,67
Khalid El-Amin,52
Kobe Bryant,134
Kornel David,15
Kurt Thomas,161
LaPhonso Ellis,153
Lamar Odom,165
Lamond Murray,90
Laron Profit,34
Larry Hughes,70
Larry Johnson,133
Larry Robinson,21
Latrell Sprewell,93
Lavor Postell,8
Lawrence Funderburke,29
Lee Nailon,41
Lindsey Hunter,93
Lorenzen Wright,140
Loy Vaught,30
Luc Longley,20
Lucious Harris,58
Mahmoud Abdul-Rauf,28
Malik Rose,83
Mamadou N'diaye,2
Marc Jackson,69
Marcus Camby,113
Marcus Fizer,114
Mario Elie,56
Mark Blount,95
Mark Bryant,7
Mark Jackson,87
Mark Madsen,52
Mark Pope,79
Mark Strickland,47
Mateen Cleaves,91
Matt Bullard,37
Matt Geiger,28
Matt Harpring,79
Matt Maloney,34
Maurice Taylor,114
Metta World Peace,130
Michael Curry,113
Michael Dickerson,130
Michael Doleac,116
Michael Finley,94
Michael Hawkins,4
Michael Olowokandi,180
Michael Redd,2
Michael Ruffin,56
Michael Smith,105
Michael Stewart,13
Mike Bibby,98
Mike Miller,123
Mike Penberthy,21
Mike Smith,7
Mikki Moore,100
Milt Palacio,52
Mitch Richmond,56
Monty Williams,80
Moochie Norris,41
Mookie Blaylock,68
Morris Peterson,100
Muggsy Bogues,3
Nazr Mohammed,64
Nick Anderson,3
Nick Van Exel,63
Obinna Ekezie,29
Olden Polynice,132
Olumide Oyedeji,19
Othella Harrington,154
Otis Thorpe,58
P.J. Brown,119
Pat Garrity,147
Patrick Ewing,136
Paul McPherson,47
Paul Pierce,145
Peja Stojakovic,72
Pervis Ellison,9
Popeye Jones,69
Quentin Richardson,53
Quincy Lewis,41
Raef LaFrentz,144
Rafer Alston,18
Randy Brown,71
Rashard Lewis,97
Rasheed Wallace,119
Rasho Nesterovic,84
Ray Allen,117
Reggie Miller,97
Reggie Slater,64
Richard Hamilton,132
Rick Brunson,13
Rick Fox,115
Ricky Davis,6
Robert Horry,98
Robert Pack,71
Robert Traylor,128
Rod Strickland,32
Rodney Buford,46
Rodney Rogers,156
Ron Harper,39
Ron Mercer,85
Roshown McLeod,37
Ruben Garces,7
Ruben Patterson,98
Ruben Wolkowyski,12
Ryan Bowen,56
Sam Cassell,135
Sam Jacobson,6
Sam Mitchell,51
Sam Perkins,36
Samaki Walker,70
Scot Pollard,108
Scott Burrell,2
Scott Padgett,15
Scott Williams,100
Scottie Pippen,84
Sean Colson,3
Sean Elliott,43
Sean Rooks,121
Shammond Williams,40
Shandon Anderson,124
Shaquille O'Neal,129
Shareef Abdur-Rahim,151
Shawn Bradley,134
Shawn Kemp,98
Shawn Marion,121
Shawnelle Scott,13
Sherman Douglas,39
Slava Medvedenko,2
Soumaila Samake,7
Stacey Augmon,51
Stephen Jackson,79
Stephon Marbury,61
Steve Francis,153
Steve Goodrich,8
Steve Kerr,17
Steve Nash,77
Steven Smith,108
Stromile Swift,90
Tariq Abdul-Wahad,24
Terrance Roberson,2
Terrell Brandon,60
Terry Davis,21
Terry Mills,6
Terry Porter,40
Theo Ratliff,122
Tim Duncan,156
Tim Hardaway,102
Tim James,13
Tim Thomas,118
Todd Day,29
Todd Fuller,4
Todd MacCulloch,59
Tom Gugliotta,63
Tom Hammonds,1
Toni Kukoc,62
Tony Battie,70
Tony Delk,100
Tony Massenburg,62
Tony Smith,10
Tracy McGrady,86
Tracy Murray,29
Trajan Langdon,51
Travis Best,113
Travis Knight,20
Troy Hudson,52
Tyrone Corbin,12
Tyrone Hill,148
Tyrone Nesby,116
Tyronn Lue,26
Tyus Edney,8
UNKNOWN,243
Vernon Maxwell,21
Vin Baker,165
Vince Carter,119
Vinny Del Negro,39
Vitaly Potapenko,120
Vlade Divac,150
Vladimir Stepania,15
Vonteego Cummings,92
Voshon Lenard,91
Wally Szczerbiak,106
Walt Williams,97
Walter McCarty,51
Wang Zhi-zhi,4
Wesley Person,36
Will Perdue,7
William Avery,21
Zan Tabak,79
Zydrunas Ilgauskas,40
